Key,Name,Icon,TelegraphPrefabPath,ProjectilePrefabPath,EffectPrefabPath,CastAnim,FireAnim,SfxCast,SfxShoot,SfxLoop,SfxHit,SfxHitIgnoreMs,Job,CastClass,IsPrimaryEligible,OnHitSkillKey,NextSkillKey,NextTriggerTiming,NextTriggerDelayMs,NextOrigin,CasterFrontDistance,CooldownMs,ManaCost,CastDelayMs,ActionLockMs,Rotation,Targeting,Placement,EffectCenterForwardOffset,EffectMotion,EffectDamage,EffectShape,ProjectilePierce,DamageCoeff,Radius,ObbWidth,ObbLength,ProjectileSpeed,MaxRange,ProjectileCount,FanAngleDeg,FirstTickDelayMs,TickIntervalMs,LifetimeMs,MoveDistance,MoveDurationMs,ScatterCount,ScatterInnerRadius,ScatterOuterRadius
1001,Fireball,Art/SkillIcons/skill_034,,Art/Six Elements VFX Mega Pack/FX_Fire Skill/Prefabs/FX_Fireball_Bullet,,Cast_Magic,Fire_Magic_1,,Sounds/Ultimate Magic Spells/Spell SFX/Fire Spell - Cast 4 modified,,Sounds/Ultimate Magic Spells/Spell SFX/Fire Spell - Hit 1 modified,0,1,1,true,1002,0,0,0,0,0,0,10,0,300,true,1,2,0,2,1,0,false,50,0,0,0,15,15,5,90,0,0,0,0,0,0,0,0
1002,Fireball_Explosion,,,,Art/Six Elements VFX Mega Pack/FX_Fire Skill/Prefabs/FX_Fire_CircleShock_modified,,,,,,,0,1,1,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,1,2,1,false,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,IceField,Art/SkillIcons/skill_025,,,Art/Six Elements VFX Mega Pack/FX_Ice Skill/Prefabs/FX_Ice_Crack,Cast_Magic,Fire_Magic_2,,Sounds/Ultimate Magic Spells/Spell SFX/Ice Spell - Shoot 5 modified,,Sounds/Ultimate Magic Spells/Spell SFX/Ice Spell - Cast 5 modified,300,1,1,false,0,0,0,0,0,0,5000,30,300,1000,true,1,3,0,1,2,2,false,15,0,10,10,0,0,0,0,0,1000,2000,0,0,0,0,0
1008,FirePillar,Art/SkillIcons/skill_140,,,Art/Hun0FX/FX/FireFX_vol1/Prefabs/FX_Fire_0104,Cast_Magic,Fire_Magic_2,,,Sounds/Ultimate Magic Spells/Spell SFX/Loop -  Blue Energy Burn,,0,1,1,false,0,0,0,0,0,0,10000,30,0,500,true,1,3,0,1,2,2,false,40,0,20,20,0,0,0,0,0,1000,5000,0,0,0,0,0
9001,Mob_Claw,,,,,,,,,,,0,0,1,false,0,0,0,0,0,0,1500,0,350,250,true,1,1,1.25,0,2,2,false,5,0,2,2.5,0,2,0,0,0,0,0,0,0,0,0,0
9002,Mob_Fireball,,,Art/GabrielAguiarProductions_Projectile/UniqueProjectilesVol_4/Prefabs/Projectiles/vfx_Projectile_Arrow06,,,,,,,,0,0,1,false,0,0,0,0,0,0,4000,0,600,300,true,1,2,0,0,1,1,false,8,1.5,0,0,12,12,0,0,0,0,0,0,0,0,0,0
9101,Dragon_Bullet,,,Prefabs/VFX/Dragon/DragonBullet,,FlameBreath,,,,,,0,0,1,false,0,0,0,0,0,0,2500,0,400,350,true,1,2,0,2,1,1,true,12,3,0,0,15,30,5,90,0,0,0,0,0,0,0,0
9102,Dragon_GodCall,,,,Prefabs/VFX/Dragon/DragonCartoonLightning,Roar,,,,,,0,0,1,false,0,0,0,0,0,0,9000,0,900,700,true,1,1,0,1,2,1,false,22,5,0,0,0,20,0,0,0,0,1500,0,0,20,15,30
9103,Dragon_FlameBreath,,,,Art/DragonVFX/FX_Dragonfire,FlameBreath,,,,,,0,0,1,false,0,0,0,0,0,14,14000,0,1000,800,true,1,2,12,1,2,2,false,8,0,8,24,0,24,0,0,0,400,2000,0,0,0,0,0
9104,Dragon_ShockWave,,,Prefabs/VFX/Dragon/DragonShockWave,,FlameBreath,,,,,,0,0,1,false,0,0,0,0,0,0,10000,0,400,350,true,1,2,0,2,1,1,true,30,10,0,0,12,30,1,90,0,0,0,0,0,0,0,0
9105,Dragon_Roar,,,,Prefabs/VFX/Dragon/DragonRoar,Roar,,,,,,0,0,1,false,0,0,0,0,0,0,10000,0,1000,1000,false,1,1,0,1,2,1,false,200,20,0,0,0,0,0,0,500,1000,1000,0,0,0,0,0
2001,Warrior_NarrowSlash,,,,Prefabs/VFX/Warrior/NarrowSlash,Melee_1,,,,,,0,2,1,true,0,0,0,0,0,0,600,0,400,500,true,1,1,5,1,2,2,false,50,0,10,10,0,8,0,0,0,0,600,0,0,0,0,0
2002,Warrior_WideSlash,,,,Prefabs/VFX/Warrior/WideSlash,Melee_2,,,,,,0,2,1,false,0,0,0,0,0,0,2500,10,1200,1500,true,1,1,6,1,2,2,false,100,0,18,12,0,12,0,0,0,0,1000,0,0,0,0,0
2003,Warrior_MultiSlash,,,,Prefabs/VFX/Warrior/MultiSlash,Melee_1,,,,,,0,2,1,false,0,0,0,0,0,0,4000,15,400,1000,true,0,1,0,1,2,1,false,30,5,0,0,0,5,0,0,0,250,1000,0,0,0,0,0
