Key,Name,Job,CastClass,IsPrimaryEligible,OnHitSkillKey,NextSkillKey,NextTriggerTiming,NextTriggerDelayMs,NextOrigin,CasterFrontDistance,CooldownMs,ManaCost,CastDelayMs,ActionLockMs,Rotation,Targeting,Placement,EffectCenterForwardOffset,EffectMotion,EffectDamage,EffectShape,ProjectilePierce,DamageCoeff,Radius,ObbWidth,ObbLength,ProjectileSpeed,MaxRange,ProjectileCount,FanAngleDeg,FirstTickDelayMs,TickIntervalMs,LifetimeMs,MoveDistance,MoveDurationMs,ScatterCount,ScatterInnerRadius,ScatterOuterRadius
1001,Fireball,1,1,true,1002,0,0,0,0,0,0,10,0,300,true,1,2,0,2,1,0,false,50,0,0,0,15,15,5,90,0,0,0,0,0,0,0,0
1002,Fireball_Explosion,1,1,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,1,2,1,false,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,IceField,1,1,false,0,0,0,0,0,0,5000,30,300,1000,true,1,3,0,1,2,2,false,15,0,10,10,0,0,0,0,0,1000,2000,0,0,0,0,0
1008,FirePillar,1,1,false,0,0,0,0,0,0,10000,30,0,500,true,1,3,0,1,2,2,false,40,0,20,20,0,0,0,0,0,1000,5000,0,0,0,0,0
9001,Mob_Claw,0,1,false,0,0,0,0,0,0,1500,0,350,250,true,1,1,1.25,0,2,2,false,5,0,2,2.5,0,2,0,0,0,0,0,0,0,0,0,0
9002,Mob_Fireball,0,1,false,0,0,0,0,0,0,4000,0,600,300,true,1,2,0,0,1,1,false,8,1.5,0,0,12,12,0,0,0,0,0,0,0,0,0,0
9101,Dragon_Bullet,0,1,false,0,0,0,0,0,0,2500,0,400,350,true,1,2,0,2,1,1,true,12,3,0,0,15,30,5,90,0,0,0,0,0,0,0,0
9102,Dragon_GodCall,0,1,false,0,0,0,0,0,0,9000,0,900,700,true,1,1,0,1,2,1,false,22,5,0,0,0,20,0,0,0,0,1500,0,0,20,15,30
9103,Dragon_FlameBreath,0,1,false,0,0,0,0,0,14,14000,0,1000,800,true,1,2,12,1,2,2,false,8,0,8,24,0,24,0,0,0,400,2000,0,0,0,0,0
9104,Dragon_ShockWave,0,1,false,0,0,0,0,0,0,10000,0,400,350,true,1,2,0,2,1,1,true,30,10,0,0,12,30,1,90,0,0,0,0,0,0,0,0
9105,Dragon_Roar,0,1,false,0,0,0,0,0,0,10000,0,1000,1000,false,1,1,0,1,2,1,false,100,15,0,0,0,0,0,0,0,1000,2000,0,0,0,0,0
2001,Warrior_NarrowSlash,2,1,true,0,0,0,0,0,0,600,0,400,500,true,1,1,5,1,2,2,false,50,0,10,10,0,8,0,0,0,0,600,0,0,0,0,0
2002,Warrior_WideSlash,2,1,false,0,0,0,0,0,0,2500,10,1200,1500,true,1,1,6,1,2,2,false,100,0,18,12,0,12,0,0,0,0,1000,0,0,0,0,0
2003,Warrior_MultiSlash,2,1,false,0,0,0,0,0,0,4000,15,400,1000,true,0,1,0,1,2,1,false,30,5,0,0,0,5,0,0,0,250,1000,0,0,0,0,0
