Key,Stat,StatGroup,StatOp,MinApplyValue,MaxApplyValue
1,1,1,1,-1000000000,1000000000
2,2,1,2,-1000000000,1000000000
3,3,1,3,0,1000000000
4,4,1,4,0,99
5,5,1,5,1,1000000000
6,6,2,1,-1000000000,1000000000
7,7,2,2,-1000000000,1000000000
8,8,2,3,0,1000000000
9,9,2,4,0,99
10,10,2,5,1,1000000000
11,11,3,1,-1000000000,1000000000
12,12,3,2,-1000000000,1000000000
13,13,3,3,0,1000000000
14,14,3,4,0,99
15,15,3,5,1,1000000000
16,16,4,1,-1000000000,1000000000
17,17,4,2,-1000000000,1000000000
18,18,4,3,0,1000000000
19,19,4,4,0,99
20,20,4,5,1,1000000000
21,21,5,1,-1000000000,1000000000
22,22,5,2,-1000000000,1000000000
23,23,5,3,0,1000000000
24,24,5,4,0,99
25,25,5,5,1,1000000000
26,26,6,1,-1000000000,1000000000
27,27,6,2,-1000000000,1000000000
28,28,6,3,0,1000000000
29,29,6,4,0,99
30,30,6,5,1,1000000000
31,31,7,1,-1000000000,1000000000
32,32,7,2,-1000000000,1000000000
33,33,7,3,0,1000000000
34,34,7,4,0,99
35,35,7,5,1,1000000000
36,36,8,1,-1000000000,1000000000
37,37,8,2,-1000000000,1000000000
38,38,8,3,0,1000000000
39,39,8,4,0,99
40,40,8,5,1,1000000000
41,41,9,1,-1000000000,1000000000
42,42,9,2,-1000000000,1000000000
43,43,9,3,0,1000000000
44,44,9,4,0,99
45,45,9,5,0,1000000000
